feature,correlation_with_target,abs_weight_raw,direction,mean,std,normalized_weight
D_124_last,0.0518,0.0518,1.0,0.3052729464032165,0.22738219905590354,0.0019329998982694182
D_51_trend_slope,-0.0494,0.0494,-1.0,0.0020902118225685695,0.02486245284159642,0.0018433879642694208
D_133_trend_slope,0.04514,0.04514,1.0,0.0013243246398871543,0.0234899770255686,0.0016843366274279256
D_124_trend_delta,-0.04327,0.04327,-1.0,-0.00716298398536426,0.051601335063416284,0.001614542509828503
D_62_trend_slope,-0.04154,0.04154,-1.0,0.0009577285824243861,0.019416919793500107,0.0015499501591475344
D_80_trend_slope,0.03894,0.03894,1.0,0.0003057941146234662,0.02436042355662024,0.0014530642267614787
D_49_trend_slope,0.03881,0.03881,1.0,-0.0007423187720415727,0.02390873200842065,0.001447989700699649
D_127_trend_delta,-0.03593,0.03593,-1.0,0.011155751620127574,0.259052679462638,0.0013408293704412866
D_140_trend_delta,0.03562,0.03562,1.0,0.002969616574405987,0.13036566121867513,0.001329083571167755
D_80_trend_delta,0.03507,0.03507,1.0,0.002122821281825558,0.2171048557474229,0.001308473084627845
D_61_trend_delta,0.03499,0.03499,1.0,0.026841586248528802,1.5764450651207442,0.001305541887947051
D_127_trend_slope,-0.03426,0.03426,-1.0,0.0014172227779838198,0.032226470672296004,0.0012782174057870016
D_93_last,-0.034,0.034,-1.0,0.013792623866754943,0.09336108599770944,0.0012686304520402737
D_140_trend_slope,0.0324,0.0324,1.0,0.0006617513134788125,0.02251930481078904,0.0012090476067771086
D_46_trend_slope,0.032,0.032,1.0,0.00013235432199452607,0.02743868413102259,0.0011941786274402408
D_65_trend_slope,0.03032,0.03032,1.0,0.0068225869563449835,0.3714774097762414,0.0011312773135570243
D_102_trend_delta,0.02912,0.02912,1.0,0.01428631411001128,0.25124672196601466,0.001086709981621328
D_47_trend_delta,0.02865,0.02865,1.0,0.013049236520832475,0.08301677122539337,0.0010690522433728518
D_60_trend_delta,-0.02859,0.02859,-1.0,-0.014921813767593856,0.3131304910843787,0.001066740216812915
D_49_last,-0.02835,0.02835,-1.0,0.19159193931373425,0.26074249891641266,0.001057961751674112
D_49_trend_delta,0.02765,0.02765,1.0,-0.006186911392730707,0.20129958649838867,0.0010318281944683338
D_141_trend_delta,0.02651,0.02651,1.0,-0.0044036978470856376,0.12509078133154913,0.0009892026820737042
D_107_trend_slope,0.02646,0.02646,1.0,0.0005238504194105893,0.017372377488207216,0.0009872750672631934
D_115_trend_delta,-0.02644,0.02644,-1.0,0.008249197076575879,0.13525101557679134,0.000986688302591607
D_145_trend_delta,0.02628,0.02628,1.0,-0.001591015847040287,0.06287977600779014,0.0009807595911366994
D_124_trend_slope,-0.02611,0.02611,-1.0,-0.00046238481702681245,0.004710040682425479,0.000974164493940766
D_102_last,0.02567,0.02567,1.0,0.19180936440357746,0.2749261343432,0.0009577093278571924
D_139_trend_delta,0.02539,0.02539,1.0,-0.005349183397064928,0.1361088976217373,0.0009473040643147336
D_143_trend_delta,0.0253,0.0253,1.0,-0.00529529804469446,0.1359572135758138,0.0009441627445991132
D_77_trend_delta,-0.02435,0.02435,-1.0,0.014686826189081447,0.15401806427326653,0.0009084854604536131
D_141_trend_slope,0.0239,0.0239,1.0,-0.00030691760444368605,0.013281173917180205,0.0008918165594514949
D_139_trend_slope,0.02308,0.02308,1.0,-0.000380598593118223,0.014502930989984822,0.0008613188681435794
D_122_trend_delta,-0.02301,0.02301,-1.0,-0.009180360318617502,0.1545609594093429,0.0008587772438941984
D_102_trend_slope,0.02288,0.02288,1.0,0.0027110196514680026,0.03574881955882852,0.0008536752160494032
D_143_trend_slope,0.02284,0.02284,1.0,-0.00037598000240189085,0.014482122321390662,0.0008521345160934557
D_76_trend_delta,-0.02203,0.02203,-1.0,0.006843744492028691,0.12988384416660448,0.0008219596463530224
D_128_trend_slope,0.02173,0.02173,1.0,0.000761577935742367,0.02135474522434078,0.0008109561569209327
D_129_trend_slope,0.02146,0.02146,1.0,0.0005927181680778468,0.030854717511013447,0.0008006606844335821
D_92_trend_delta,-0.0211,0.0211,-1.0,0.0030755831924593542,0.2503249536798413,0.0007874115703883732
D_145_trend_slope,0.02095,0.02095,1.0,-7.206228004960531e-05,0.007589553306710493,0.0007817751539932629
D_104_trend_slope,0.01985,0.01985,1.0,0.0008454971926269914,0.035531576028605565,0.0007407731344885014
D_115_trend_slope,-0.01959,0.01959,-1.0,0.0005501877950588054,0.013032390392974156,0.0007308781642595494
D_109_last,-0.0193,0.0193,-1.0,0.006463309834153859,0.038364593867956556,0.000720009643764292
D_103_trend_slope,0.0192,0.0192,1.0,0.0008456304535750456,0.036940657622684475,0.000716277005567504
D_121_trend_delta,-0.01896,0.01896,-1.0,0.023276940371682688,0.06117848232404139,0.000707532373030181
D_105_last,-0.01815,0.01815,-1.0,0.37726024358565785,0.2527062483516924,0.0006771084160007247
D_92_trend_slope,-0.01679,0.01679,-1.0,0.0003353500491183815,0.027066978946266487,0.0006265528356697826
D_107_trend_delta,0.01647,0.01647,1.0,0.0023927744247704266,0.15374899985725363,0.0006144119250626119
D_128_trend_delta,0.01622,0.01622,1.0,0.006457701526752696,0.1776822588134113,0.0006053360682799136
D_69_last,0.01597,0.01597,1.0,0.14906688313130637,6.185202067061964,0.0005959267904127058
D_129_trend_delta,0.01583,0.01583,1.0,0.005412246475569413,0.25424614855906247,0.0005905300188987887
D_122_trend_slope,-0.01574,0.01574,-1.0,-0.0006344838483908843,0.01472419967187057,0.0005874370511584694
D_82_last,0.01573,0.01573,1.0,0.4685468961272894,0.1779686904338858,0.0005868470383710151
D_123_trend_slope,-0.01529,0.01529,-1.0,-0.00034208501572842925,0.033970967701255725,0.0005706208269408255
D_43_trend_slope,0.01454,0.01454,1.0,-0.0036522794979258057,0.04451472027875831,0.0005426370415624737
D_123_trend_delta,-0.01451,0.01451,-1.0,-0.00349991181350772,0.269473309733373,0.0005416027822090033
D_71_trend_delta,-0.01447,0.01447,-1.0,0.003944564403565213,0.28506029138888267,0.0005397912258123298
D_121_trend_slope,-0.01434,0.01434,-1.0,0.0017740796408371993,0.005582931388035259,0.0005351313622013838
D_134_trend_slope,-0.01396,0.01396,-1.0,-0.0001544717167083366,0.020905782745627943,0.000520977415700412
D_73_trend_delta,0.01374,0.01374,1.0,0.00034216031925109305,0.04802525691098823,0.0005126994240057023
D_77_trend_slope,-0.01363,0.01363,-1.0,0.0014635471284173392,0.019978885106481215,0.000508548382802377
D_47_trend_slope,0.01361,0.01361,1.0,0.0014155480983869778,0.015207850961148347,0.0005078434435469069
D_71_trend_slope,-0.01316,0.01316,-1.0,0.00038894093629944596,0.027791693218647273,0.0004909233297286567
D_104_trend_delta,0.01288,0.01288,1.0,0.0042478490722875325,0.31533649174958406,0.0004805461399950619
D_91_trend_slope,-0.01233,0.01233,-1.0,3.4365820900802724e-05,0.01640247164437217,0.0004600313774276511
D_119_trend_slope,-0.01206,0.01206,-1.0,0.002082972972815931,0.013764188374819178,0.00044992977977243077
D_106_trend_slope,-0.01205,0.01205,-1.0,0.01180917126265162,0.2607678583048743,0.00044951381171429107
D_106_last,-0.01198,0.01198,-1.0,0.21198267999535905,1.8196443714514572,0.00044689718157299473
D_103_trend_delta,0.0118,0.0118,1.0,0.003921031995582084,0.3270232281086578,0.00044042697425317786
D_135_trend_slope,-0.0113,0.0113,-1.0,-0.016066994472405127,0.09206104414651275,0.00042168323279945187
D_52_trend_delta,-0.01039,0.01039,-1.0,0.006526279645664844,0.10505163674181643,0.0003875643557112234
D_144_trend_delta,0.01035,0.01035,1.0,0.0011080652881848125,0.11467297522407013,0.00038621523005752585
D_52_trend_slope,-0.01031,0.01031,-1.0,0.0004912118710520604,0.01512802712107616,0.00038478120076646145
D_91_trend_delta,-0.01027,0.01027,-1.0,-0.0022344160383193,0.1712979139000978,0.00038317376359951446
D_119_trend_delta,-0.00946,0.00946,-1.0,0.027473967719156597,0.14937544497511077,0.00035312979766717774
D_118_trend_slope,-0.00928,0.00928,-1.0,0.0018531805691474515,0.013985962897437846,0.0003462907174838719
D_76_trend_slope,-0.00915,0.00915,-1.0,0.0002757294730789672,0.017524664332458254,0.00034157480847568997
D_96_trend_delta,-0.00832,0.00832,-1.0,0.0020359676284372324,0.18263751664805433,0.0003102959665156636
D_93_trend_delta,0.00824,0.00824,1.0,-0.001676823001108664,0.09329883639665619,0.0003073877287311985
D_109_trend_delta,0.00816,0.00816,1.0,-0.0002448168646637821,0.016277845493938403,0.00030439185098581057
D_113_trend_slope,0.00812,0.00812,1.0,-0.0006027491087595303,0.01174377317377727,0.00030288141202926836
D_109_trend_slope,0.00805,0.00805,1.0,-2.4779991575631175e-05,0.001746128602760781,0.00030037798924914094
D_94_trend_slope,-0.00796,0.00796,-1.0,5.688804541412484e-05,0.009843640919334788,0.000296897897367078
D_83_trend_delta,-0.00788,0.00788,-1.0,-0.008767374561764263,0.2405302307380303,0.0002938964561790851
D_125_trend_slope,-0.00729,0.00729,-1.0,-0.0010199922655178498,0.04473734378787232,0.0002719052528014142
D_96_trend_slope,-0.00726,0.00726,-1.0,0.00034634012882595803,0.02114904871068674,0.00027091825032145056
D_144_trend_slope,0.00721,0.00721,1.0,0.0005574218546701894,0.019965402874455633,0.0002688993043869051
D_56_trend_slope,-0.00707,0.00707,-1.0,0.0010967976754013595,0.012086303164324137,0.0002636855067028369
D_137_trend_slope,-0.00652,0.00652,-1.0,-0.009115291987020959,0.06991345862429664,0.00024344244590827695
D_56_trend_delta,-0.00649,0.00649,-1.0,0.01293697070901348,0.09446669066040009,0.00024233931407101748
D_46_trend_delta,0.00641,0.00641,1.0,-0.0035215630474286688,0.2563162910003402,0.0002390952437284305
D_118_trend_delta,-0.00637,0.00637,-1.0,0.02471966396608087,0.15207327492924497,0.0002377253139205972
D_94_trend_delta,-0.00635,0.00635,-1.0,0.0005260878374011045,0.1151580000342118,0.00023699738412197953
D_82_trend_delta,0.00616,0.00616,1.0,-0.009525457528414613,0.09446629909668765,0.00022996496692222212
D_83_trend_slope,0.00587,0.00587,1.0,-1.9028682744821512e-05,0.02493119933696165,0.00021885169146001993
D_105_trend_delta,0.00566,0.00566,1.0,0.07870837468525564,0.2103376442187956,0.00021123012373336044
D_50_trend_delta,-0.00558,0.00558,-1.0,0.00956971653123074,0.6562608981000673,0.00020822602124700263
D_136_trend_slope,0.00551,0.00551,1.0,0.007293773565500436,0.03739453749454023,0.00020574877999561894
D_82_trend_slope,-0.00545,0.00545,-1.0,-0.0009322695217436739,0.011772825475554501,0.00020346908470881411
D_108_trend_slope,0.00543,0.00543,1.0,0.006722478505131924,0.2086509165076001,0.0002027093145653174
D_93_trend_slope,0.00523,0.00523,1.0,-0.00012398664016340113,0.010363242598700202,0.00019510227428541922
D_86_trend_delta,0.00505,0.00505,1.0,-0.001070750717897693,0.15697433106698952,0.00018860009792287324
D_106_trend_delta,0.00505,0.00505,1.0,0.02334264469749885,0.4070289564964398,0.0001882681338898404
D_113_trend_delta,0.00471,0.00471,1.0,-0.011670187597003836,0.1169237420741048,0.00017582899931308795
D_73_trend_slope,0.00465,0.00465,1.0,3.535776262049552e-05,0.012320275759636418,0.0001733974259248282
D_144_last,-0.00442,0.00442,-1.0,0.05212352285145793,0.1822054129331557,0.00016491075382830944
D_105_trend_slope,-0.00428,0.00428,-1.0,0.008174087209884627,0.020545999862849613,0.00015984893726820018
D_142_trend_delta,0.00386,0.00386,1.0,0.03490022783071184,0.07142867168720753,0.0001441298214415149
D_132_trend_delta,0.00344,0.00344,1.0,0.0846907456182533,0.12436343053415391,0.00012837715914496028
D_50_trend_slope,-0.00337,0.00337,-1.0,0.001801249685561462,0.14791732662153984,0.00012560882770903893
D_60_trend_slope,-0.00332,0.00332,-1.0,-0.0013087227506274957,0.05384803325152866,0.00012374985896043442
D_69_trend_slope,0.00269,0.00269,1.0,-0.00038387029160394593,1.496791903668674,0.00010047430614800582
D_138_trend_slope,0.00248,0.00248,1.0,0.004822711601349989,0.04557310886006456,9.242419686677651e-05
D_86_trend_slope,0.00229,0.00229,1.0,1.9244484516140182e-05,0.016496955454844236,8.554616458484158e-05
D_69_trend_delta,0.00133,0.00133,1.0,-0.06506330997078037,25.57748686379897,4.970643196171014e-05
D_142_trend_slope,-0.00098,0.00098,-1.0,0.003093053925233496,0.007679511687154025,3.6718220362490824e-05
D_132_trend_slope,-0.00069,0.00069,-1.0,0.00881485966484544,0.010385521138126592,2.56148860375722e-05
D_125_trend_delta,-0.00044,0.00044,-1.0,-0.012128401964484026,0.3820248021396967,1.6265097939053583e-05
